rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
284,The Lego Movie,"$470,759,687","$257,966,122",54.8%,"$212,793,565",45.2%,2014
285,Godzilla vs. Kong,"$470,116,094","$100,916,094",21.5%,"$369,200,000",78.5%,2021
286,The Hangover,"$469,328,922","$277,339,746",59.1%,"$191,989,176",40.9%,2009
287,The Greatest Showman,"$469,064,959","$174,340,174",37.2%,"$294,724,785",62.8%,2017
288,Lucy,"$469,058,574","$126,663,600",27%,"$342,394,974",73%,2014
289,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018
290,The Matrix,"$467,841,735","$172,076,928",36.8%,"$295,764,807",63.2%,1999
291,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%,2013
292,Gladiator,"$465,516,248","$187,705,427",40.3%,"$277,810,821",59.7%,2000
293,Pretty Woman,"$463,406,268","$178,406,268",38.5%,"$285,000,000",61.5%,1990
294,Cars,"$461,996,328","$244,082,982",52.8%,"$217,913,346",47.2%,2006
295,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020
296,Gladiator II,"$460,493,496","$172,393,496",37.4%,"$288,100,000",62.6%,2024
297,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%,2006
298,Moon Man,"$460,237,662",-,-,"$460,237,662",100%,2022
299,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1%,2007
300,Mission: Impossible,"$457,696,391","$180,981,856",39.5%,"$276,714,535",60.5%,1996
301,300,"$456,082,343","$210,629,101",46.2%,"$245,453,242",53.8%,2007
302,The Last Samurai,"$454,627,263","$111,127,263",24.4%,"$343,500,000",75.6%,2003
303,Beetlejuice Beetlejuice,"$451,900,435","$294,100,435",65.1%,"$157,800,000",34.9%,2024
304,Beauty and the Beast,"$451,291,298","$218,967,620",48.5%,"$232,323,678",51.5%,1991
305,Dying to Survive,"$451,183,391","$6,752",-,"$451,176,639",100%,2018
306,Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%,2001
307,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019
308,Pokémon: Detective Pikachu,"$450,063,166","$144,174,568",32%,"$305,888,598",68%,2019
309,Thor,"$449,326,618","$181,030,624",40.3%,"$268,295,994",59.7%,2011
310,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%,2001
311,Tarzan,"$448,191,819","$171,091,819",38.2%,"$277,100,000",61.8%,1999
312,Sonic the Hedgehog 3,"$446,718,690","$226,218,690",50.6%,"$220,500,000",49.4%,2024
313,1917,"$446,064,352","$159,227,644",35.7%,"$286,836,708",64.3%,2019
314,Men in Black II,"$445,135,288","$193,735,288",43.5%,"$251,400,000",56.5%,2002
315,The Mummy Returns,"$443,284,916","$202,019,785",45.6%,"$241,265,131",54.4%,2001
316,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.6%,"$223,525,393",50.4%,2009
317,The Bourne Ultimatum,"$442,824,138","$227,471,070",51.4%,"$215,353,068",48.6%,2007
318,Les Misérables,"$442,757,529","$149,260,140",33.7%,"$293,497,389",66.3%,2012
319,Transformers: Rise of the Beasts,"$441,381,193","$157,066,392",35.6%,"$284,314,801",64.4%,2023
320,Mrs. Doubtfire,"$441,286,195","$219,195,243",49.7%,"$222,090,952",50.3%,1993
321,Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%,2015
322,John Wick: Chapter 4,"$440,180,275","$187,131,806",42.5%,"$253,048,469",57.5%,2023
323,Aquaman and the Lost Kingdom,"$439,381,226","$124,481,226",28.3%,"$314,900,000",71.7%,2023
324,Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%,2016
325,A Star Is Born,"$436,433,122","$215,333,122",49.3%,"$221,100,000",50.7%,2018
326,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3%,2003
327,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",52%,"$207,700,000",48%,2021
328,Die Another Day,"$431,971,781","$160,942,139",37.3%,"$271,029,642",62.7%,2002
329,The Secret Life of Pets 2,"$431,164,459","$158,980,250",36.9%,"$272,184,209",63.1%,2019
330,The Exorcist,"$430,872,776","$233,005,644",54.1%,"$197,867,132",45.9%,1973
331,Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%,2000
332,Rampage,"$428,128,399","$101,028,233",23.6%,"$327,100,166",76.4%,2018
333,The Matrix Revolutions,"$427,344,325","$139,313,948",32.6%,"$288,030,377",67.4%,2003
334,The Intouchables,"$426,590,315","$10,198,820",2.4%,"$416,391,495",97.6%,2011
335,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020
336,Django Unchained,"$426,076,293","$162,805,434",38.2%,"$263,270,859",61.8%,2012
337,Dances with Wolves,"$424,208,848","$184,208,848",43.4%,"$240,000,000",56.6%,1990
338,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020
339,The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.8%,"$278,044,078",66.2%,2008
340,Sex and the City,"$418,769,972","$152,647,258",36.4%,"$266,122,714",63.6%,2008
341,The Captain,"$417,863,545","$706,572",0.2%,"$417,156,973",99.8%,2019
342,The Mummy,"$417,643,286","$157,095,368",37.6%,"$260,547,918",62.4%,1999
343,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%,2010
344,Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%,2016
345,The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%,2013
346,Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%,2015
347,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.9%,"$235,862,449",57.1%,2009
348,Batman,"$411,569,241","$251,409,241",61.1%,"$160,160,000",38.9%,1989
349,The Bodyguard,"$411,046,449","$122,046,449",29.7%,"$289,000,000",70.3%,1992
350,Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%,2013
351,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%,2017
352,TRON: Legacy,"$409,912,892","$172,062,763",42%,"$237,850,129",58%,2010
353,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%,2017
354,Ice Age: Collision Course,"$408,754,975","$64,063,008",15.7%,"$344,691,967",84.3%,2016
355,Twilight,"$408,497,161","$193,962,473",47.5%,"$214,534,688",52.5%,2008
356,Sing 2,"$408,402,685","$162,790,990",39.9%,"$245,611,695",60.1%,2021
357,Signs,"$408,247,917","$227,966,634",55.8%,"$180,281,283",44.2%,2002
358,X2: X-Men United,"$407,711,549","$214,949,694",52.7%,"$192,761,855",47.3%,2003
359,Dune: Part One,"$407,673,628","$108,897,830",26.7%,"$298,775,798",73.3%,2021
360,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%,2022
361,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%,2022
362,The Wolf of Wall Street,"$407,039,432","$116,900,694",28.7%,"$290,138,738",71.3%,2013
363,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%,2022
364,Your Name.,"$405,340,703","$5,017,246",1.2%,"$400,323,457",98.8%,2016
365,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%,2019
366,Bad Boys: Ride or Die,"$404,550,184","$193,573,217",47.8%,"$210,976,967",52.2%,2024
367,The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6%,2008
368,Prometheus,"$403,354,469","$126,477,084",31.4%,"$276,877,385",68.6%,2012
369,Gone with the Wind,"$402,382,193","$200,882,193",49.9%,"$201,500,000",50.1%,1939
370,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%,2021
371,Mission: Impossible III,"$398,479,497","$134,029,801",33.6%,"$264,449,696",66.4%,2006
372,Meg 2: The Trench,"$397,800,317","$82,600,317",20.8%,"$315,200,000",79.2%,2023
373,Kingdom of the Planet of the Apes,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%,2024
374,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.2%,"$241,260,448",60.8%,2012
375,Grease,"$396,271,103","$190,071,103",48%,"$206,200,000",52%,1978
376,Mamma Mia! Here We Go Again,"$395,607,854","$120,634,935",30.5%,"$274,972,919",69.5%,2018
377,Toy Story,"$394,436,586","$223,225,679",56.6%,"$171,210,907",43.4%,1995
378,Spider-Man: Into the Spider-Verse,"$393,602,435","$190,241,310",48.3%,"$203,361,125",51.7%,2018
379,Black Adam,"$393,452,111","$168,152,111",42.7%,"$225,300,000",57.3%,2022
380,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018
381,Once Upon a Time... in Hollywood,"$392,105,159","$142,502,728",36.3%,"$249,602,431",63.7%,2019
382,Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%,2006
383,Robin Hood: Prince of Thieves,"$390,493,908","$165,493,908",42.4%,"$225,000,000",57.6%,1991
384,Raiders of the Lost Ark,"$389,925,971","$248,159,971",63.6%,"$141,766,000",36.4%,1981
385,Independence Day: Resurgence,"$389,681,935","$103,144,286",26.5%,"$286,537,649",73.5%,2016
386,Live Free or Die Hard,"$388,156,011","$134,529,403",34.7%,"$253,626,608",65.3%,2007
387,Godzilla: King of the Monsters,"$387,300,138","$110,500,138",28.5%,"$276,800,000",71.5%,2019
388,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%,2015
389,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,2015
390,Star Trek,"$385,681,768","$257,730,019",66.8%,"$127,951,749",33.2%,2009
391,Back to the Future,"$385,053,307","$214,553,307",55.7%,"$170,500,000",44.3%,1985
392,Happy Feet,"$384,336,108","$198,000,317",51.5%,"$186,335,791",48.5%,2006
393,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%,2023
394,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%,2017
395,Ice Age,"$383,257,136","$176,387,405",46%,"$206,869,731",54%,2002
396,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017
397,Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%,2009
398,Mad Max: Fury Road,"$380,437,267","$154,280,290",40.6%,"$226,156,977",59.4%,2015
399,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%,2021
400,Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%,1998
401,True Lies,"$378,882,411","$146,282,411",38.6%,"$232,600,000",61.4%,1994
402,Slumdog Millionaire,"$378,411,362","$141,319,928",37.4%,"$237,091,434",62.6%,2008
403,Edge of Tomorrow,"$377,044,245","$100,206,256",26.6%,"$276,837,989",73.4%,2014
404,Taken 2,"$376,152,455","$139,854,287",37.2%,"$236,298,168",62.8%,2012
405,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%,2013
406,Batman Begins,"$375,406,308","$206,863,479",55.1%,"$168,542,829",44.9%,2005
407,Shark Tale,"$374,583,879","$160,861,908",42.9%,"$213,721,971",57.1%,2004
408,What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%,2000
409,The Adventures of Tintin,"$373,994,233","$77,591,831",20.8%,"$296,402,402",79.2%,2011
410,Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710",77.6%,2014
411,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.2%,"$193,179,707",51.8%,2009
412,Creation of the Gods I: Kingdom of Storms,"$373,021,923","$1,706,355",0.5%,"$371,315,568",99.5%,2023
413,Twisters,"$372,262,265","$267,762,265",71.9%,"$104,500,000",28.1%,2024
414,The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%,2007
415,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018
416,Hitch,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7%,2005
417,Terminator Salvation,"$371,353,001","$125,322,469",33.8%,"$246,030,532",66.2%,2009
418,Gone Girl,"$370,890,259","$167,767,189",45.2%,"$203,123,070",54.8%,2014
419,Captain America: The First Avenger,"$370,569,774","$176,654,505",47.7%,"$193,915,269",52.3%,2011
420,There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%,1998
421,The Fugitive,"$368,875,760","$183,875,760",49.8%,"$185,000,000",50.2%,1993
422,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001
423,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%,2002
424,Shazam!,"$367,799,011","$140,480,049",38.2%,"$227,318,962",61.8%,2019
425,Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%,2018
426,Die Hard with a Vengeance,"$366,101,666","$100,012,499",27.3%,"$266,089,167",72.7%,1995
427,The Nun,"$366,082,797","$117,481,222",32.1%,"$248,601,575",67.9%,2018
428,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%,2007
429,Tenet,"$365,304,105","$58,504,105",16%,"$306,800,000",84%,2020
430,Notting Hill,"$363,994,265","$116,089,678",31.9%,"$247,904,587",68.1%,1999
431,A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,1998
432,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,2014
433,Ocean's Twelve,"$362,744,280","$125,544,280",34.6%,"$237,200,000",65.4%,2004
434,Mary Poppins Returns,"$362,529,106","$171,958,438",47.4%,"$190,570,668",52.6%,2018
435,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%,2001
436,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%,2013
437,The World Is Not Enough,"$361,832,400","$126,943,684",35.1%,"$234,888,716",64.9%,1999
438,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018
439,Fast & Furious,"$360,405,638","$155,064,265",43%,"$205,341,373",57%,2009
440,Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,2014
441,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%,2010
442,Home Alone 2: Lost in New York,"$358,994,850","$173,585,516",48.4%,"$185,409,334",51.6%,1992
443,Spirited Away,"$358,556,579","$15,205,725",4.2%,"$343,350,854",95.8%,2001
444,Hotel Transylvania,"$358,488,860","$148,426,305",41.4%,"$210,062,555",58.6%,2012
445,Minority Report,"$358,372,926","$132,072,926",36.8%,"$226,300,000",63.2%,2002
446,Top Gun,"$357,288,178","$180,258,178",50.4%,"$177,030,000",49.6%,1986
447,The Legend of Tarzan,"$357,243,061","$126,643,061",35.4%,"$230,600,000",64.6%,2016
448,American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%,1999
449,Apollo 13,"$355,237,933","$173,837,933",48.9%,"$181,400,000",51.1%,1995
450,Rain Man,"$354,825,435","$172,825,435",48.7%,"$182,000,000",51.3%,1988
451,The Great Gatsby,"$353,660,028","$144,857,996",41%,"$208,802,032",59%,2013
452,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019
453,"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%,2004
454,Basic Instinct,"$352,927,224","$117,727,224",33.4%,"$235,200,000",66.6%,1992
455,Murder on the Orient Express,"$352,794,081","$102,826,543",29.2%,"$249,967,538",70.8%,2017
456,X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011
457,The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%,2016
458,GoldenEye,"$352,194,034","$106,429,941",30.2%,"$245,764,093",69.8%,1995
459,Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%,2002
460,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%,2013
461,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001
462,The Mask,"$351,583,407","$119,938,730",34.1%,"$231,644,677",65.9%,1994
463,Peter Rabbit,"$351,516,614","$115,253,424",32.8%,"$236,263,190",67.2%,2018
464,It Ends with Us,"$351,005,544","$148,518,266",42.3%,"$202,487,278",57.7%,2024
465,Alien: Romulus,"$350,865,342","$105,313,091",30%,"$245,552,251",70%,2024
466,Speed,"$350,448,145","$121,248,145",34.6%,"$229,200,000",65.4%,1994
467,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%,2000
468,Deep Impact,"$349,464,664","$140,464,664",40.2%,"$209,000,000",59.8%,1998
469,The Lorax,"$349,305,397","$214,494,550",61.4%,"$134,810,847",38.6%,2012
470,The Hunger Games: The Ballad of Songbirds & Snakes,"$348,900,019","$166,350,594",47.7%,"$182,549,425",52.3%,2023
471,The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,2014
472,The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%,2013
473,National Treasure,"$347,512,530","$173,008,894",49.8%,"$174,503,636",50.2%,2004
474,Trolls,"$347,337,803","$154,174,089",44.4%,"$193,163,714",55.6%,2016
475,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%,2001
476,How the Grinch Stole Christmas,"$347,162,175","$261,901,880",75.4%,"$85,260,295",24.6%,2000
477,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017
478,Pocahontas,"$346,079,773","$141,579,773",40.9%,"$204,500,000",59.1%,1995
479,Star Trek Beyond,"$343,471,816","$158,848,340",46.2%,"$184,623,476",53.8%,2016
480,Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.8%,"$209,584,693",61.2%,2011
481,Wanted,"$342,463,063","$134,508,551",39.3%,"$207,954,512",60.7%,2008
482,The Flintstones,"$341,631,208","$130,531,208",38.2%,"$211,100,000",61.8%,1994
483,A Quiet Place,"$340,955,294","$188,024,361",55.2%,"$152,930,933",44.8%,2018
484,Enchanted,"$340,487,869","$127,807,262",37.5%,"$212,680,607",62.5%,2007
485,Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%,2006
486,300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%,2014
487,Batman Forever,"$336,567,158","$184,069,126",54.7%,"$152,498,032",45.3%,1995
488,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%,2009
489,The Curious Case of Benjamin Button,"$335,802,786","$127,509,326",38%,"$208,293,460",62%,2008
490,Journey 2: The Mysterious Island,"$335,288,576","$103,887,748",31%,"$231,400,828",69%,2012
491,The Rock,"$335,062,621","$134,069,511",40%,"$200,993,110",60%,1996
492,The Great Wall,"$334,933,831","$45,540,830",13.6%,"$289,393,001",86.4%,2016
493,Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%,2016
494,Never Say Die,"$334,530,869",-,-,"$334,530,869",100%,2017
495,Bridget Jones's Diary,"$334,273,059","$71,543,427",21.4%,"$262,729,632",78.6%,2001
496,Fantastic Four,"$333,535,934","$154,696,080",46.4%,"$178,839,854",53.6%,2005
497,Indiana Jones and the Temple of Doom,"$333,107,271","$179,870,271",54%,"$153,237,000",46%,1984
498,Tomorrow Never Dies,"$333,011,068","$125,304,276",37.6%,"$207,706,792",62.4%,1997
499,Back to the Future Part II,"$332,861,197","$119,361,197",35.9%,"$213,500,000",64.1%,1989
500,The Good Dinosaur,"$332,207,671","$123,087,120",37%,"$209,120,551",63%,2015
501,Little Women,"$332,103,783","$108,101,214",32.6%,"$224,002,569",67.4%,2019
502,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%,2021
503,22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539",42.1%,2014
504,Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%,2000
505,Who Framed Roger Rabbit,"$329,803,958","$156,452,370",47.4%,"$173,351,588",52.6%,1988
506,Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%,2010
507,The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%,2000
508,John Wick: Chapter 3 - Parabellum,"$328,349,908","$171,015,687",52.1%,"$157,334,221",47.9%,2019
509,Seven,"$328,248,559","$101,040,643",30.8%,"$227,207,916",69.2%,1995
510,Crocodile Dundee,"$328,203,506","$174,803,506",53.3%,"$153,400,000",46.7%,1986
511,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%,2019
512,The Devil Wears Prada,"$326,717,337","$124,740,460",38.2%,"$201,976,877",61.8%,2006
513,Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%,2015
514,Paddington,"$326,088,587","$76,271,832",23.4%,"$249,816,755",76.6%,2014
515,The Hunchback of Notre Dame,"$325,338,851","$100,138,851",30.8%,"$225,200,000",69.2%,1996
516,A Christmas Carol,"$325,286,646","$137,855,863",42.4%,"$187,430,783",57.6%,2009
517,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%,2015
518,The Wild Robot,"$324,996,770","$143,887,770",44.3%,"$181,109,000",55.7%,2024
519,Bridesmaids,"$324,840,797","$169,106,725",52.1%,"$155,734,072",47.9%,2011
520,The Conjuring 2,"$322,811,702","$102,516,140",31.8%,"$220,295,562",68.2%,2016
521,Schindler's List,"$322,161,245","$96,898,818",30.1%,"$225,262,427",69.9%,1993
522,Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%,2010
523,Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%,2018
524,Lethal Weapon 3,"$321,731,527","$144,731,527",45%,"$177,000,000",55%,1992
525,Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%,2010
526,Inglourious Basterds,"$321,460,744","$120,540,719",37.5%,"$200,920,025",62.5%,2009
527,101 Dalmatians,"$320,689,294","$136,189,294",42.5%,"$184,500,000",57.5%,1996
528,The Conjuring,"$320,415,166","$137,446,368",42.9%,"$182,968,798",57.1%,2013
529,Fatal Attraction,"$320,145,693","$156,645,693",48.9%,"$163,500,000",51.1%,1987
